"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Sign in to Advantage","SUCCESS","2022-06-16T16:08:07.254-05:00[America/Bogota]","0.0","27.14"
"Registration","Registration on the Advantage page","FAILURE","2022-06-16T16:03:32.66-05:00[America/Bogota]","0.0","111.79"
